2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Atletico Madrid
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 3 transfer-tagged articles for Atletico Madrid
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | Prepared 3 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Barcelona
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Barcelona
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 1 transfer-tagged articles for Barcelona
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | Prepared 1 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Betis
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Betis
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 21 transfer-tagged articles for Betis
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | Prepared 21 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Celta de Vigo
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Celta de Vigo
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 17 transfer-tagged articles for Celta de Vigo
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | Prepared 17 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Elche
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Elche
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 9 transfer-tagged articles for Elche
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
