2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/primera-division/2025/08/24/elche-rompe-maldicion-tenian-50-anos.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/oficial-antony-vuelve-al-betis-n/
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.mundodeportivo.com/futbol/rcd-espanyol/20250828/1002521689/urko-esta-barcelona-firmar-espanyol.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/2025/08/21/atletico-elche-horario-y-donde-ver-hoy-en-tv-y-canal-del-partido-de-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/uche-quiere-frenar-su-salida-n/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/2025/08/23/alineacion-atletico-elche-hoy-partido-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/getafe/bordalas-sobre-inscritos-logica-preocupacion-20250823-508923.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://teleelx.es/2025/08/28/elche-busca-la-cesion-de-tyrell-malacia/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/alex-moreno-una-alegria-girona-2025/08/22-508869.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.eldesmarque.com/futbol/elche-cf/20250825/elche-cierra-fichaje-inaki-pena-20250825-509194.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/traspaso-ounahi-cerrado-2025-08-28-509534.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/alex-moreno-una-alegria-girona-2025/08/22-508869.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/oferta-para-cerrar-llegada-vladyslav-vanat-2025-08-25-509127.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/traspaso-ounahi-cerrado-2025-08-28-509534.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/portu-david-lopez-cargan-duramente-contra-sus-companeros-2025-08-26-509350.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/getafe/bordalas-sobre-inscritos-logica-preocupacion-20250823-508923.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/cerrada-salida-krejci-2025-08-26-509252.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.mundodeportivo.com/futbol/rcd-espanyol/20250828/1002521689/urko-esta-barcelona-firmar-espanyol.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/mallorca/20250823/alineaciones-mallorca-celta-alineacion-posible-mallorca-celta-partido-laliga-20250823-508886.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/oferta-para-cerrar-llegada-vladyslav-vanat-2025-08-25-509127.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/mallorca-celta-en-directo-laliga-ea-sports-n/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/portu-david-lopez-cargan-duramente-contra-sus-companeros-2025-08-26-509350.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.levante-emv.com/levante-ud/2025/08/26/ryan-hambre-todavia-ayudar-levante-permanencia-120955863.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/cerrada-salida-krejci-2025-08-26-509252.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.levante-emv.com/levante-ud/2025/08/26/mathew-ryan-levante-fichaje-oficial_300742053.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/uche-quiere-frenar-su-salida-n/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/primera-division/levante-barcelona-horario-canal-donde-ver-hoy-online-partido-jornada-laliga-20250823-508944.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/mallorca/20250823/alineaciones-mallorca-celta-alineacion-posible-mallorca-celta-partido-laliga-20250823-508886.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/levante-ud/2025/08/26/mathew-ryan-incorporacion-inminente-20250826-509246.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/levante-ud/2025/08/26/mathew-ryan-incorporacion-inminente-20250826-509246.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/levante/2025/08/23/levante-barcelona-hora-canal-ver-hoy-tv-partido-laliga-ea-sports.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/primera-division/levante-barcelona-horario-canal-donde-ver-hoy-online-partido-jornada-laliga-20250823-508944.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/levante/2025/08/28/elche-levante-derbi-sirve-primera-previa-analisis-pronostico-prediccion.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.levante-emv.com/levante-ud/2025/08/26/mathew-ryan-levante-fichaje-oficial_300742053.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.diariodenavarra.es/noticias/deportes/futbol/osasuna/portada/osasuna-descarta-el-fichaje-st-juste-658430-1027.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.levante-emv.com/levante-ud/2025/08/26/ryan-hambre-todavia-ayudar-levante-permanencia-120955863.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.noticiasdenavarra.com/osasuna/2025/08/29/enfria-el-tercer-refuerzo-osasuna-658527-1027.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/mallorca-celta-en-directo-laliga-ea-sports-n/ — empty text scraped.
