2025-09-02 | ETL_get_injury_news  | INFO     | Logger 'ETL_get_injury_news' initialized. Logging to: logs/ETL_get_injury_news.log
2025-09-02 | ETL_get_injury_news  | INFO     | 🚀 Starting ETL pipeline for ETL_get_injury_news...
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | READING SUPABASE TABLE AND EXTRACTING UNIQUE TEAMS
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | ✅ Retrieved 20 unique teams from 'article_urls'
2025-09-02 | ETL_get_injury_news  | INFO     | Processing 2 teams: ['Alaves', 'Athletic Bilbao']
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | HANDLING INJURIES FOR TEAM: Alaves
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | Extract all articles from the last 14 days...
2025-09-02 | ETL_get_injury_news  | INFO     | ✅ Retrieved 747 articles from 'article_contents' (last 14 days).
2025-09-02 | ETL_get_injury_news  | INFO     | Filtering articles for team: Alaves
2025-09-02 | ETL_get_injury_news  | INFO     | Filtering articles with injury tags: ['lesiones_sanciones']
2025-09-02 | ETL_get_injury_news  | INFO     | Found 17 injury-tagged articles for Alaves
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | FORMATTING LLM OUTPUT FOR INJURY TABLE
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-02 | ETL_get_injury_news  | INFO     | Prepared 17 article snippets (dropped 0 with no usable text; limit 60).
2025-09-02 | ETL_get_injury_news  | INFO     | Building system and user prompts for LLM
2025-09-02 | ETL_get_injury_news  | INFO     | Calling LLM orchestrator
2025-09-02 | ETL_get_injury_news  | INFO     | 🔁 Trying LOCAL (Ollama) model...
2025-09-02 | ETL_get_injury_news  | INFO     | 🔁 Calling local model via Ollama: model='gemma3:27b', base_url='http://localhost:11434/v1'
2025-09-02 | ETL_get_injury_news  | INFO     | LOCAL (Ollama) returned a valid response.
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | HANDLING INJURIES FOR TEAM: Athletic Bilbao
2025-09-02 | ETL_get_injury_news  | INFO     | ============================================================
2025-09-02 | ETL_get_injury_news  | INFO     | Extract all articles from the last 14 days...
2025-09-02 | ETL_get_injury_news  | INFO     | ✅ Retrieved 747 articles from 'article_contents' (last 14 days).
2025-09-02 | ETL_get_injury_news  | INFO     | Filtering articles for team: Athletic Bilbao
2025-09-02 | ETL_get_injury_news  | INFO     | Filtering articles with injury tags: ['lesiones_sanciones']
2025-09-02 | ETL_get_injury_news  | INFO     | Found 30 injury-tagged articles for Athletic Bilbao
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | FORMATTING LLM OUTPUT FOR INJURY TABLE
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-02 | ETL_get_injury_news  | INFO     | Prepared 29 article snippets (dropped 0 with no usable text; limit 60).
2025-09-02 | ETL_get_injury_news  | INFO     | Building system and user prompts for LLM
2025-09-02 | ETL_get_injury_news  | INFO     | Calling LLM orchestrator
2025-09-02 | ETL_get_injury_news  | INFO     | 🔁 Trying LOCAL (Ollama) model...
2025-09-02 | ETL_get_injury_news  | INFO     | 🔁 Calling local model via Ollama: model='gemma3:27b', base_url='http://localhost:11434/v1'
2025-09-02 | ETL_get_injury_news  | ERROR    | ❌ Local model call failed: Request timed out.
2025-09-02 | ETL_get_injury_news  | WARNING  | ⚠️ LOCAL (Ollama) returned an empty response.
2025-09-02 | ETL_get_injury_news  | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-02 | ETL_get_injury_news  | INFO     | Gemini returned a valid response.
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-02 | ETL_get_injury_news  | INFO     | ------------------------------
2025-09-02 | ETL_get_injury_news  | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
