2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-sorprende-sentando-vinicius.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/ruediger-vuelve-burgos.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-disecciona-madrid-dos-opciones-mastantuono-futuro-rodrygo-datos-vini.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/oviedo/2025/08/24/oviedo-real-madrid-dia-grande-tartiere-durisima-travesia-desierto.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/opinion/2025/08/24/florentino-miami-ventaja-darle-barca-517-millones.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/mercado-fichajes/2025/08/24/68aabb5bf49425d14d3e5ff3-directo.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/arbeloa-fichaje-queria.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/clasificacion/C186.html?intcmp=MENUMIGA&s_kw=clasificacion
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-sorprende-sentando-vinicius.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-parchea-valdebebas.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/calendario/C186.html?intcmp=MENUMIGA&s_kw=calendario
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/plantilla/C186.html?intcmp=MENUMIGA&s_kw=plantilla
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/misteriosa-historia-mbappe-mensaje-sergio-ramos-me-pediste-vuel-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/clasificacion/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/alineaciones-probables-real-oviedo-real-madrid-segunda-jornada-liga.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/2025/08/23/ricardo-burgos-arbitrara-real-oviedo-real-madrid.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/estadisticas/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/vinicius-seco-lejos-bernabeu.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/oviedo/2025/08/24/oviedo-real-madrid-dia-grande-tartiere-durisima-travesia-desierto.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/zurda-mastantuono-deslumbra-valdebebas-imparable-porter-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/2025/08/23/ricardo-burgos-arbitrara-real-oviedo-real-madrid.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-abre-mercado-hay-preparados.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/68a999fdf49425d14d32c69a-directo.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-sobre-polemica-nombre-mastantuono-franco-he-habla-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/alineaciones-probables-real-oviedo-real-madrid-segunda-jornada-liga.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/madrid-cerro-tartiere-primera-abre.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/22/oviedo-real-madrid-a-que-hora-es-canal-y-donde-ver-hoy-en-tv-el-partido-de-la-jornada-2-de-laliga-ea-sports.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/vinicius-seco-lejos-bernabeu.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/laliga-ea-sports/oviedo-r-madrid/2025/08/24/01_0101_20250824_187_186-directo.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/ficha-equipo/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/mas_futbol/lamini-fati-conquista-a-arbeloa-n/
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/la-luna-de-miel-de-thiago-pitarch-n/
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | ENRICHING WITH LLM (5 threads in parallel)
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/calendario/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/primera-division/2025/05/28/mercado-fichajes-laliga-rumores-altas-bajas-primera-division-temporada-2025-26.html?intcmp=MENUMIGA&s_kw=mercado-de-fichajes
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/valverde-autoridad-blanca-gerrard-xabi-alonso.html
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.superdeporte.es/videos/valencia-cf/2025/08/24/sido-expulsion-gaya-frente-osasuna-120898221.html
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/directo-i-rueda-prensa-xabi-alons-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
